dataset_id,model,cp_method,m_minority,value
openml_4534_phishingwebsite,xgboost,class_conditional_cp,100,0.35974790453910827
openml_23512_higgs,xgboost,class_conditional_cp,100,1.3512458145618438
openml_23517_numerai28_6,xgboost,class_conditional_cp,100,1.1470800161361694
openml_3_kr_vs_kp,tabpfn,class_conditional_cp,100,0.010180944204330444
openml_24_mushroom,tabpfn,class_conditional_cp,100,2.5987625122070312e-05
openml_1486_nomao,tabpfn,class_conditional_cp,100,0.30256434082984923
openml_1489_phoneme,tabpfn,class_conditional_cp,100,0.9315823614597321
openml_1590_adult,tabpfn,class_conditional_cp,100,1.2623992942273616
openml_4534_phishingwebsite,tabpfn,class_conditional_cp,100,0.12482931017875672
openml_23512_higgs,tabpfn,class_conditional_cp,100,1.4112245336174964
openml_23517_numerai28_6,tabpfn,class_conditional_cp,100,1.0677979677915572
