dataset_id,model,cp_method,m_minority,value
openml_1486_nomao,tabpfn,global_split_cp,100,0.8180802437785678
openml_1489_phoneme,tabpfn,global_split_cp,100,0.8189274447949527
openml_1590_adult,tabpfn,global_split_cp,100,0.7739948674080411
openml_4534_phishingwebsite,tabpfn,global_split_cp,100,0.8696938775510205
openml_23512_higgs,tabpfn,global_split_cp,100,0.8755002704164413
openml_23517_numerai28_6,tabpfn,global_split_cp,100,0.8735102811582041
openml_3_kr_vs_kp,logistic_regression,class_conditional_cp,10,0.8869281045751635
openml_24_mushroom,logistic_regression,class_conditional_cp,10,0.9264367816091955
openml_1486_nomao,logistic_regression,class_conditional_cp,10,0.8937531742001015
openml_1489_phoneme,logistic_regression,class_conditional_cp,10,0.9198738170347003
openml_1590_adult,logistic_regression,class_conditional_cp,10,0.920530367835757
openml_4534_phishingwebsite,logistic_regression,class_conditional_cp,10,0.9188775510204081
openml_23512_higgs,logistic_regression,class_conditional_cp,10,0.8151757706868578
openml_23517_numerai28_6,logistic_regression,class_conditional_cp,10,0.892404532102392
openml_3_kr_vs_kp,xgboost,class_conditional_cp,10,0.9196078431372549
openml_24_mushroom,xgboost,class_conditional_cp,10,0.9162196679438059
openml_1486_nomao,xgboost,class_conditional_cp,10,0.9007110208227527
openml_1489_phoneme,xgboost,class_conditional_cp,10,0.9053627760252366
openml_1590_adult,xgboost,class_conditional_cp,10,0.9384088964927289
openml_4534_phishingwebsite,xgboost,class_conditional_cp,10,0.918469387755102
openml_23512_higgs,xgboost,class_conditional_cp,10,0.8839264467279611
openml_23517_numerai28_6,xgboost,class_conditional_cp,10,0.8831514897188418
openml_3_kr_vs_kp,tabpfn,class_conditional_cp,10,0.8986928104575164
openml_24_mushroom,tabpfn,class_conditional_cp,10,0.9970625798212005
openml_1486_nomao,tabpfn,class_conditional_cp,10,0.902133062468258
openml_1489_phoneme,tabpfn,class_conditional_cp,10,0.9173501577287066
openml_1590_adult,tabpfn,class_conditional_cp,10,0.9335329341317365
openml_4534_phishingwebsite,tabpfn,class_conditional_cp,10,0.9013265306122449
openml_23512_higgs,tabpfn,class_conditional_cp,10,0.87914548404543
openml_23517_numerai28_6,tabpfn,class_conditional_cp,10,0.8894460763743182
openml_3_kr_vs_kp,logistic_regression,class_conditional_cp,20,0.8859477124183007
openml_24_mushroom,logistic_regression,class_conditional_cp,20,0.9137931034482758
openml_1486_nomao,logistic_regression,class_conditional_cp,20,0.8869476891823261
openml_1489_phoneme,logistic_regression,class_conditional_cp,20,0.9107255520504731
openml_1590_adult,logistic_regression,class_conditional_cp,20,0.9181779298545767
openml_4534_phishingwebsite,logistic_regression,class_conditional_cp,20,0.9314285714285715
openml_23512_higgs,logistic_regression,class_conditional_cp,20,0.883677663601947
openml_23517_numerai28_6,logistic_regression,class_conditional_cp,20,0.895950482584977
openml_3_kr_vs_kp,xgboost,class_conditional_cp,20,0.8836601307189543
openml_24_mushroom,xgboost,class_conditional_cp,20,0.9003831417624522
openml_1486_nomao,xgboost,class_conditional_cp,20,0.8923819197562214
openml_1489_phoneme,xgboost,class_conditional_cp,20,0.8810725552050472
openml_1590_adult,xgboost,class_conditional_cp,20,0.924508126603935
openml_4534_phishingwebsite,xgboost,class_conditional_cp,20,0.9262244897959183
openml_23512_higgs,xgboost,class_conditional_cp,20,0.9023472147106544
openml_23517_numerai28_6,xgboost,class_conditional_cp,20,0.9093159882501048
openml_3_kr_vs_kp,tabpfn,class_conditional_cp,20,0.8833333333333334
openml_24_mushroom,tabpfn,class_conditional_cp,20,0.9970625798212005
openml_1486_nomao,tabpfn,class_conditional_cp,20,0.8934484509903504
openml_1489_phoneme,tabpfn,class_conditional_cp,20,0.9097791798107255
openml_1590_adult,tabpfn,class_conditional_cp,20,0.9213857998289136
openml_4534_phishingwebsite,tabpfn,class_conditional_cp,20,0.9051020408163266
openml_23512_higgs,tabpfn,class_conditional_cp,20,0.9100054083288264
openml_23517_numerai28_6,tabpfn,class_conditional_cp,20,0.9152958455728074
openml_3_kr_vs_kp,logistic_regression,class_conditional_cp,50,0.8937908496732027
openml_24_mushroom,logistic_regression,class_conditional_cp,50,0.8913154533844189
openml_1486_nomao,logistic_regression,class_conditional_cp,50,0.8826307770441849
openml_1489_phoneme,logistic_regression,class_conditional_cp,50,0.902839116719243
openml_1590_adult,logistic_regression,class_conditional_cp,50,0.8993584260051326
openml_4534_phishingwebsite,logistic_regression,class_conditional_cp,50,0.9029591836734694
openml_23512_higgs,logistic_regression,class_conditional_cp,50,0.8834288804759328
openml_23517_numerai28_6,logistic_regression,class_conditional_cp,50,0.9109315988250104
openml_3_kr_vs_kp,xgboost,class_conditional_cp,50,0.8846405228758171
openml_24_mushroom,xgboost,class_conditional_cp,50,0.8993614303959131
openml_1486_nomao,xgboost,class_conditional_cp,50,0.8865921787709498
openml_1489_phoneme,xgboost,class_conditional_cp,50,0.8911671924290221
openml_1590_adult,xgboost,class_conditional_cp,50,0.9001283147989735
openml_4534_phishingwebsite,xgboost,class_conditional_cp,50,0.9029591836734694
openml_23512_higgs,xgboost,class_conditional_cp,50,0.896819902650081
openml_23517_numerai28_6,xgboost,class_conditional_cp,50,0.9012379353755771
openml_3_kr_vs_kp,tabpfn,class_conditional_cp,50,0.8803921568627452
openml_24_mushroom,tabpfn,class_conditional_cp,50,0.9970625798212005
openml_1486_nomao,tabpfn,class_conditional_cp,50,0.891772473336719
openml_1489_phoneme,tabpfn,class_conditional_cp,50,0.8977917981072554
openml_1590_adult,tabpfn,class_conditional_cp,50,0.8996578272027375
openml_4534_phishingwebsite,tabpfn,class_conditional_cp,50,0.8998979591836734
openml_23512_higgs,tabpfn,class_conditional_cp,50,0.910676041103299
openml_23517_numerai28_6,tabpfn,class_conditional_cp,50,0.9111624003357113
openml_3_kr_vs_kp,logistic_regression,class_conditional_cp,100,0.8954248366013072
openml_24_mushroom,logistic_regression,class_conditional_cp,100,0.888888888888889
openml_1486_nomao,logistic_regression,class_conditional_cp,100,0.8787709497206704
openml_1489_phoneme,logistic_regression,class_conditional_cp,100,0.894006309148265
openml_1590_adult,logistic_regression,class_conditional_cp,100,0.9016253207869974
openml_4534_phishingwebsite,logistic_regression,class_conditional_cp,100,0.9078571428571429
openml_23512_higgs,logistic_regression,class_conditional_cp,100,0.8949702541914549
openml_23517_numerai28_6,logistic_regression,class_conditional_cp,100,0.9090117498950903
openml_3_kr_vs_kp,xgboost,class_conditional_cp,100,0.8954248366013072
openml_24_mushroom,xgboost,class_conditional_cp,100,0.888888888888889
openml_1486_nomao,xgboost,class_conditional_cp,100,0.8883189436262061
openml_1489_phoneme,xgboost,class_conditional_cp,100,0.8927444794952681
openml_1590_adult,xgboost,class_conditional_cp,100,0.9070145423438836
openml_4534_phishingwebsite,xgboost,class_conditional_cp,100,0.9025510204081633
openml_23512_higgs,xgboost,class_conditional_cp,100,0.9006057328285559
openml_23517_numerai28_6,xgboost,class_conditional_cp,100,0.89447125472094
openml_3_kr_vs_kp,tabpfn,class_conditional_cp,100,0.9003267973856209
openml_24_mushroom,tabpfn,class_conditional_cp,100,0.9970625798212005
openml_1486_nomao,tabpfn,class_conditional_cp,100,0.8883189436262062
openml_1489_phoneme,tabpfn,class_conditional_cp,100,0.8936908517350158
openml_1590_adult,tabpfn,class_conditional_cp,100,0.9118477331052182
openml_4534_phishingwebsite,tabpfn,class_conditional_cp,100,0.8972448979591837
openml_23512_higgs,tabpfn,class_conditional_cp,100,0.9080908599242834
openml_23517_numerai28_6,tabpfn,class_conditional_cp,100,0.9041649181703735
