cp_method,m_minority,median,mean,min,max,n_datasets
class_conditional_cp,10,0.9073170379262816,0.9066053026386529,0.8594159004867497,0.9465730097914006,8
class_conditional_cp,20,0.9036899339123559,0.9075814545781341,0.884313725490196,0.9370796083439762,8
class_conditional_cp,50,0.8984904458770606,0.9007739242801558,0.8862745098039216,0.9292464878671775,8
class_conditional_cp,100,0.9018857949551163,0.9017217805304222,0.8851362789910275,0.9249467858663262,8
global_split_cp,10,0.8378077362932453,0.7995213438645915,0.5724693470202452,0.9226479352916134,8
global_split_cp,20,0.8438170200476081,0.8084322867358485,0.5992443684060451,0.9223499361430396,8
global_split_cp,50,0.8534462367965034,0.8314507503986969,0.6854291417165669,0.923541932737335,8
global_split_cp,100,0.8607437371920104,0.8521268353404162,0.7723125178214999,0.9237547892720307,8
