dataset_id,model,cp_method,m_minority,n_cells,n_unique_seeds,n_expected_seeds,complete,all_status_pass
openml_1489_phoneme,xgboost,class_conditional_cp,10,10,10,10,True,True
openml_1489_phoneme,xgboost,class_conditional_cp,20,10,10,10,True,True
openml_1489_phoneme,xgboost,class_conditional_cp,50,10,10,10,True,True
openml_1489_phoneme,xgboost,class_conditional_cp,100,10,10,10,True,True
openml_1489_phoneme,tabpfn,global_split_cp,10,10,10,10,True,True
openml_1489_phoneme,tabpfn,global_split_cp,20,10,10,10,True,True
openml_1489_phoneme,tabpfn,global_split_cp,50,10,10,10,True,True
openml_1489_phoneme,tabpfn,global_split_cp,100,10,10,10,True,True
openml_1489_phoneme,tabpfn,class_conditional_cp,10,10,10,10,True,True
openml_1489_phoneme,tabpfn,class_conditional_cp,20,10,10,10,True,True
openml_1489_phoneme,tabpfn,class_conditional_cp,50,10,10,10,True,True
openml_1489_phoneme,tabpfn,class_conditional_cp,100,10,10,10,True,True
openml_1590_adult,logistic_regression,global_split_cp,10,10,10,10,True,True
openml_1590_adult,logistic_regression,global_split_cp,20,10,10,10,True,True
openml_1590_adult,logistic_regression,global_split_cp,50,10,10,10,True,True
openml_1590_adult,logistic_regression,global_split_cp,100,10,10,10,True,True
openml_1590_adult,logistic_regression,class_conditional_cp,10,10,10,10,True,True
openml_1590_adult,logistic_regression,class_conditional_cp,20,10,10,10,True,True
openml_1590_adult,logistic_regression,class_conditional_cp,50,10,10,10,True,True
openml_1590_adult,logistic_regression,class_conditional_cp,100,10,10,10,True,True
openml_1590_adult,xgboost,global_split_cp,10,10,10,10,True,True
openml_1590_adult,xgboost,global_split_cp,20,10,10,10,True,True
openml_1590_adult,xgboost,global_split_cp,50,10,10,10,True,True
openml_1590_adult,xgboost,global_split_cp,100,10,10,10,True,True
openml_1590_adult,xgboost,class_conditional_cp,10,10,10,10,True,True
openml_1590_adult,xgboost,class_conditional_cp,20,10,10,10,True,True
openml_1590_adult,xgboost,class_conditional_cp,50,10,10,10,True,True
openml_1590_adult,xgboost,class_conditional_cp,100,10,10,10,True,True
openml_1590_adult,tabpfn,global_split_cp,10,10,10,10,True,True
openml_1590_adult,tabpfn,global_split_cp,20,10,10,10,True,True
openml_1590_adult,tabpfn,global_split_cp,50,10,10,10,True,True
openml_1590_adult,tabpfn,global_split_cp,100,10,10,10,True,True
openml_1590_adult,tabpfn,class_conditional_cp,10,10,10,10,True,True
openml_1590_adult,tabpfn,class_conditional_cp,20,10,10,10,True,True
openml_1590_adult,tabpfn,class_conditional_cp,50,10,10,10,True,True
openml_1590_adult,tabpfn,class_conditional_cp,100,10,10,10,True,True
openml_4534_phishingwebsite,logistic_regression,global_split_cp,10,10,10,10,True,True
openml_4534_phishingwebsite,logistic_regression,global_split_cp,20,10,10,10,True,True
openml_4534_phishingwebsite,logistic_regression,global_split_cp,50,10,10,10,True,True
openml_4534_phishingwebsite,logistic_regression,global_split_cp,100,10,10,10,True,True
openml_4534_phishingwebsite,logistic_regression,class_conditional_cp,10,10,10,10,True,True
openml_4534_phishingwebsite,logistic_regression,class_conditional_cp,20,10,10,10,True,True
openml_4534_phishingwebsite,logistic_regression,class_conditional_cp,50,10,10,10,True,True
openml_4534_phishingwebsite,logistic_regression,class_conditional_cp,100,10,10,10,True,True
openml_4534_phishingwebsite,xgboost,global_split_cp,10,10,10,10,True,True
openml_4534_phishingwebsite,xgboost,global_split_cp,20,10,10,10,True,True
openml_4534_phishingwebsite,xgboost,global_split_cp,50,10,10,10,True,True
openml_4534_phishingwebsite,xgboost,global_split_cp,100,10,10,10,True,True
openml_4534_phishingwebsite,xgboost,class_conditional_cp,10,10,10,10,True,True
openml_4534_phishingwebsite,xgboost,class_conditional_cp,20,10,10,10,True,True
openml_4534_phishingwebsite,xgboost,class_conditional_cp,50,10,10,10,True,True
openml_4534_phishingwebsite,xgboost,class_conditional_cp,100,10,10,10,True,True
openml_4534_phishingwebsite,tabpfn,global_split_cp,10,10,10,10,True,True
openml_4534_phishingwebsite,tabpfn,global_split_cp,20,10,10,10,True,True
openml_4534_phishingwebsite,tabpfn,global_split_cp,50,10,10,10,True,True
openml_4534_phishingwebsite,tabpfn,global_split_cp,100,10,10,10,True,True
openml_4534_phishingwebsite,tabpfn,class_conditional_cp,10,10,10,10,True,True
openml_4534_phishingwebsite,tabpfn,class_conditional_cp,20,10,10,10,True,True
openml_4534_phishingwebsite,tabpfn,class_conditional_cp,50,10,10,10,True,True
openml_4534_phishingwebsite,tabpfn,class_conditional_cp,100,10,10,10,True,True
openml_23512_higgs,logistic_regression,global_split_cp,10,10,10,10,True,True
openml_23512_higgs,logistic_regression,global_split_cp,20,10,10,10,True,True
openml_23512_higgs,logistic_regression,global_split_cp,50,10,10,10,True,True
openml_23512_higgs,logistic_regression,global_split_cp,100,10,10,10,True,True
openml_23512_higgs,logistic_regression,class_conditional_cp,10,10,10,10,True,True
openml_23512_higgs,logistic_regression,class_conditional_cp,20,10,10,10,True,True
openml_23512_higgs,logistic_regression,class_conditional_cp,50,10,10,10,True,True
openml_23512_higgs,logistic_regression,class_conditional_cp,100,10,10,10,True,True
openml_23512_higgs,xgboost,global_split_cp,10,10,10,10,True,True
openml_23512_higgs,xgboost,global_split_cp,20,10,10,10,True,True
openml_23512_higgs,xgboost,global_split_cp,50,10,10,10,True,True
openml_23512_higgs,xgboost,global_split_cp,100,10,10,10,True,True
openml_23512_higgs,xgboost,class_conditional_cp,10,10,10,10,True,True
openml_23512_higgs,xgboost,class_conditional_cp,20,10,10,10,True,True
openml_23512_higgs,xgboost,class_conditional_cp,50,10,10,10,True,True
openml_23512_higgs,xgboost,class_conditional_cp,100,10,10,10,True,True
openml_23512_higgs,tabpfn,global_split_cp,10,10,10,10,True,True
openml_23512_higgs,tabpfn,global_split_cp,20,10,10,10,True,True
openml_23512_higgs,tabpfn,global_split_cp,50,10,10,10,True,True
openml_23512_higgs,tabpfn,global_split_cp,100,10,10,10,True,True
openml_23512_higgs,tabpfn,class_conditional_cp,10,10,10,10,True,True
openml_23512_higgs,tabpfn,class_conditional_cp,20,10,10,10,True,True
openml_23512_higgs,tabpfn,class_conditional_cp,50,10,10,10,True,True
openml_23512_higgs,tabpfn,class_conditional_cp,100,10,10,10,True,True
openml_23517_numerai28_6,logistic_regression,global_split_cp,10,10,10,10,True,True
openml_23517_numerai28_6,logistic_regression,global_split_cp,20,10,10,10,True,True
openml_23517_numerai28_6,logistic_regression,global_split_cp,50,10,10,10,True,True
openml_23517_numerai28_6,logistic_regression,global_split_cp,100,10,10,10,True,True
openml_23517_numerai28_6,logistic_regression,class_conditional_cp,10,10,10,10,True,True
openml_23517_numerai28_6,logistic_regression,class_conditional_cp,20,10,10,10,True,True
openml_23517_numerai28_6,logistic_regression,class_conditional_cp,50,10,10,10,True,True
openml_23517_numerai28_6,logistic_regression,class_conditional_cp,100,10,10,10,True,True
openml_23517_numerai28_6,xgboost,global_split_cp,10,10,10,10,True,True
openml_23517_numerai28_6,xgboost,global_split_cp,20,10,10,10,True,True
openml_23517_numerai28_6,xgboost,global_split_cp,50,10,10,10,True,True
openml_23517_numerai28_6,xgboost,global_split_cp,100,10,10,10,True,True
openml_23517_numerai28_6,xgboost,class_conditional_cp,10,10,10,10,True,True
openml_23517_numerai28_6,xgboost,class_conditional_cp,20,10,10,10,True,True
openml_23517_numerai28_6,xgboost,class_conditional_cp,50,10,10,10,True,True
openml_23517_numerai28_6,xgboost,class_conditional_cp,100,10,10,10,True,True
openml_23517_numerai28_6,tabpfn,global_split_cp,10,10,10,10,True,True
openml_23517_numerai28_6,tabpfn,global_split_cp,20,10,10,10,True,True
openml_23517_numerai28_6,tabpfn,global_split_cp,50,10,10,10,True,True
openml_23517_numerai28_6,tabpfn,global_split_cp,100,10,10,10,True,True
openml_23517_numerai28_6,tabpfn,class_conditional_cp,10,10,10,10,True,True
openml_23517_numerai28_6,tabpfn,class_conditional_cp,20,10,10,10,True,True
openml_23517_numerai28_6,tabpfn,class_conditional_cp,50,10,10,10,True,True
openml_23517_numerai28_6,tabpfn,class_conditional_cp,100,10,10,10,True,True
