dataset_id,cp_method,m_minority,coverage_minority,coverage_majority,singleton_rate,average_set_size,q_minority,threshold_sum
openml_3_kr_vs_kp,class_conditional_cp,50,0.8862745098039214,0.8995009980039921,0.8982291666666667,0.8982291666666667,0.10668087405411804,0.19308493055131748
openml_3_kr_vs_kp,class_conditional_cp,100,0.8970588235294118,0.8995009980039921,0.9025520833333334,0.9025520833333334,0.10115920724155229,0.18756326373875176
openml_3_kr_vs_kp,global_split_cp,50,0.8897603485838779,0.8997005988023952,0.8991666666666666,0.8991666666666666,,
openml_3_kr_vs_kp,global_split_cp,100,0.8946623093681916,0.902694610778443,0.9030208333333332,0.9030208333333332,,
openml_24_mushroom,class_conditional_cp,50,0.9292464878671776,0.93867775138559,0.9341333333333333,0.9341333333333333,0.007552306560730141,0.01468452655560523
openml_24_mushroom,class_conditional_cp,100,0.924946785866326,0.93867775138559,0.9320615384615384,0.9320615384615384,0.005815412267355876,0.012947632262230965
openml_24_mushroom,global_split_cp,50,0.9235419327373351,0.9394299287410927,0.931774358974359,0.931774358974359,,
openml_24_mushroom,global_split_cp,100,0.9237547892720307,0.9390736342042756,0.9316923076923077,0.9316923076923077,,
openml_1486_nomao,class_conditional_cp,50,0.8869984763839512,0.9082250203086921,0.9172155326659898,0.9172155326659898,0.3195253059438577,0.4050626947361866
openml_1486_nomao,class_conditional_cp,100,0.8851362789910276,0.9082250203086921,0.9161661589051694,0.9161661589051694,0.3024238454714616,0.38796123426379053
openml_1486_nomao,global_split_cp,50,0.8058066700524802,0.9268480909829406,0.9021422699356836,0.9021422699356836,,
openml_1486_nomao,global_split_cp,100,0.8245810055865923,0.9349241808827511,0.9151119493205667,0.9151119493205667,,
openml_1489_phoneme,class_conditional_cp,50,0.8972660357518399,0.9030541012216404,0.8367252543940796,1.1490903484428001,0.7378837974716763,1.155429259435285
openml_1489_phoneme,class_conditional_cp,100,0.8934805467928495,0.9030541012216404,0.845482577860006,1.1411347517730497,0.7315038929153147,1.1490493548789236
openml_1489_phoneme,global_split_cp,50,0.7705573080967404,0.9345113438045374,0.8779525131051494,1.0789392537773665,,
openml_1489_phoneme,global_split_cp,100,0.8026288117770768,0.9462914485165793,0.862195497995683,1.1188714153561519,,
openml_1590_adult,class_conditional_cp,50,0.8997148560022812,0.9057372269322209,0.831204149179377,1.168795850820623,0.8232044597660065,1.2374020043841372
openml_1590_adult,class_conditional_cp,100,0.9068291987453664,0.9057372269322209,0.8293615859692225,1.1706384140307773,0.8317653081015333,1.2459628527196642
openml_1590_adult,global_split_cp,50,0.6854291417165668,0.9549006414569596,0.9344525198757975,1.0654587641177877,,
openml_1590_adult,global_split_cp,100,0.7723125178214999,0.9733772933207735,0.8444603678302112,1.1555396321697888,,
openml_4534_phishingwebsite,class_conditional_cp,50,0.9019387755102041,0.8974546439209317,0.9189507010402532,0.9189507010402532,0.2905447295130953,0.4233053433628902
openml_4534_phishingwebsite,class_conditional_cp,100,0.9025510204081633,0.8974546439209317,0.9183175033921304,0.9183175033921304,0.2699369836392783,0.4026975974890733
openml_4534_phishingwebsite,global_split_cp,50,0.8660884353741495,0.9074735987002437,0.9039197949645711,0.9039197949645711,,
openml_4534_phishingwebsite,global_split_cp,100,0.8684353741496599,0.9092878418629841,0.9061510628674807,0.9061510628674807,,
openml_23512_higgs,class_conditional_cp,50,0.896974941409771,0.8910532239909954,0.5256994730579635,1.4743005269420364,0.7050746344523731,1.337238779714718
openml_23512_higgs,class_conditional_cp,100,0.9012222823147645,0.8910532239909954,0.5229287778344383,1.4770712221655622,0.70504753287158,1.3372116781339252
openml_23512_higgs,global_split_cp,50,0.840804038218857,0.9045634346357935,0.5913513513513514,1.4086486486486491,,
openml_23512_higgs,global_split_cp,100,0.853052100234361,0.9123974915581283,0.56302396736359,1.4369760326364098,,
openml_23517_numerai28_6,class_conditional_cp,50,0.9077773115120995,0.9068468283326484,0.2040714977851606,1.7959285022148395,0.5530688291086737,1.098235533615172
openml_23517_numerai28_6,class_conditional_cp,100,0.9025493075954679,0.9068468283326484,0.20980585548172756,1.7901941445182723,0.5517077504794917,1.09687445498599
openml_23517_numerai28_6,global_split_cp,50,0.8696181284095676,0.9155911768735442,0.23481450719822808,1.765185492801772,,
openml_23517_numerai28_6,global_split_cp,100,0.8775877745139179,0.9192560624743116,0.2225532945736434,1.7774467054263563,,
