cp_method,m_minority,median,mean,min,max,n_datasets
class_conditional_cp,10,0.8521249132747456,0.7526299830622325,0.22293570044296787,0.9424820512820512,8
class_conditional_cp,20,0.8610023753083564,0.7526181275300892,0.2044815891472868,0.9379076923076923,8
class_conditional_cp,50,0.8674772105303732,0.7582786385153529,0.20407149778516057,0.9341333333333334,8
class_conditional_cp,100,0.8740173305966698,0.7595845101546957,0.20980585548172756,0.9320615384615384,8
global_split_cp,10,0.8959259926692296,0.7941079834041928,0.2576169712070875,0.9484218787320435,8
global_split_cp,20,0.8964145536521936,0.7934045207363347,0.24865552325581397,0.9601050943460606,8
global_split_cp,50,0.9006544683011751,0.7844467477589758,0.2348145071982281,0.9344525198757976,8
global_split_cp,100,0.8826081656645082,0.7685261601221021,0.2225532945736434,0.9316923076923077,8
