dataset_id,model,cp_method,m_minority,value
openml_1486_nomao,tabpfn,global_split_cp,100,0.9082982736109096
openml_1489_phoneme,tabpfn,global_split_cp,100,0.9721554116558743
openml_1590_adult,tabpfn,global_split_cp,100,0.8396560548674378
openml_4534_phishingwebsite,tabpfn,global_split_cp,100,0.8907281772953415
openml_23512_higgs,tabpfn,global_split_cp,100,0.6305915349311576
openml_23517_numerai28_6,tabpfn,global_split_cp,100,0.22754879568106312
openml_3_kr_vs_kp,logistic_regression,class_conditional_cp,10,0.9060937499999999
openml_24_mushroom,logistic_regression,class_conditional_cp,10,0.9167384615384616
openml_1486_nomao,logistic_regression,class_conditional_cp,10,0.935717394458146
openml_1489_phoneme,logistic_regression,class_conditional_cp,10,0.5642923219241444
openml_1590_adult,logistic_regression,class_conditional_cp,10,0.7220288668236258
openml_4534_phishingwebsite,logistic_regression,class_conditional_cp,10,0.9387155133423789
openml_23512_higgs,logistic_regression,class_conditional_cp,10,0.49406425293217743
openml_23517_numerai28_6,logistic_regression,class_conditional_cp,10,0.2260745431893688
openml_3_kr_vs_kp,xgboost,class_conditional_cp,10,0.91328125
openml_24_mushroom,xgboost,class_conditional_cp,10,0.9126153846153846
openml_1486_nomao,xgboost,class_conditional_cp,10,0.9200928478166256
openml_1489_phoneme,xgboost,class_conditional_cp,10,0.901850138760407
openml_1590_adult,xgboost,class_conditional_cp,10,0.758122632818098
openml_4534_phishingwebsite,xgboost,class_conditional_cp,10,0.9236996834011759
openml_23512_higgs,xgboost,class_conditional_cp,10,0.593161652218256
openml_23517_numerai28_6,xgboost,class_conditional_cp,10,0.2170421511627907
openml_3_kr_vs_kp,tabpfn,class_conditional_cp,10,0.9003125000000001
openml_24_mushroom,tabpfn,class_conditional_cp,10,0.9980923076923076
openml_1486_nomao,tabpfn,class_conditional_cp,10,0.9160162483679095
openml_1489_phoneme,tabpfn,class_conditional_cp,10,0.9269195189639223
openml_1590_adult,tabpfn,class_conditional_cp,10,0.7366465349575186
openml_4534_phishingwebsite,tabpfn,class_conditional_cp,10,0.9085029398462234
openml_23512_higgs,tabpfn,class_conditional_cp,10,0.6073482916879144
openml_23517_numerai28_6,tabpfn,class_conditional_cp,10,0.22569040697674417
openml_3_kr_vs_kp,logistic_regression,class_conditional_cp,20,0.9043749999999999
openml_24_mushroom,logistic_regression,class_conditional_cp,20,0.9106461538461538
openml_1486_nomao,logistic_regression,class_conditional_cp,20,0.9291164949949223
openml_1489_phoneme,logistic_regression,class_conditional_cp,20,0.5768732654949121
openml_1590_adult,logistic_regression,class_conditional_cp,20,0.7601494523492681
openml_4534_phishingwebsite,logistic_regression,class_conditional_cp,20,0.9530529172320217
openml_23512_higgs,logistic_regression,class_conditional_cp,20,0.40208057113717494
openml_23517_numerai28_6,logistic_regression,class_conditional_cp,20,0.22307412790697673
openml_3_kr_vs_kp,xgboost,class_conditional_cp,20,0.8956250000000001
openml_24_mushroom,xgboost,class_conditional_cp,20,0.9049846153846154
openml_1486_nomao,xgboost,class_conditional_cp,20,0.9168431742347309
openml_1489_phoneme,xgboost,class_conditional_cp,20,0.9325624421831638
openml_1590_adult,xgboost,class_conditional_cp,20,0.8181697205445797
openml_4534_phishingwebsite,xgboost,class_conditional_cp,20,0.9294889190411579
openml_23512_higgs,xgboost,class_conditional_cp,20,0.5640693523712391
openml_23517_numerai28_6,xgboost,class_conditional_cp,20,0.18984115448504985
openml_3_kr_vs_kp,tabpfn,class_conditional_cp,20,0.8926562499999999
openml_24_mushroom,tabpfn,class_conditional_cp,20,0.9980923076923076
openml_1486_nomao,tabpfn,class_conditional_cp,20,0.9128971420281445
openml_1489_phoneme,tabpfn,class_conditional_cp,20,0.9639222941720629
openml_1590_adult,tabpfn,class_conditional_cp,20,0.7949431876343536
openml_4534_phishingwebsite,tabpfn,class_conditional_cp,20,0.9055630936227951
openml_23512_higgs,tabpfn,class_conditional_cp,20,0.5832789393166752
openml_23517_numerai28_6,tabpfn,class_conditional_cp,20,0.2005294850498339
openml_3_kr_vs_kp,logistic_regression,class_conditional_cp,50,0.9071875
openml_24_mushroom,logistic_regression,class_conditional_cp,50,0.8998153846153846
openml_1486_nomao,logistic_regression,class_conditional_cp,50,0.9262730306107645
openml_1489_phoneme,logistic_regression,class_conditional_cp,50,0.5974098057354301
openml_1590_adult,logistic_regression,class_conditional_cp,50,0.801463814105845
openml_4534_phishingwebsite,logistic_regression,class_conditional_cp,50,0.9458616010854817
openml_23512_higgs,logistic_regression,class_conditional_cp,50,0.4027078021417644
openml_23517_numerai28_6,logistic_regression,class_conditional_cp,50,0.2089545265780731
openml_3_kr_vs_kp,xgboost,class_conditional_cp,50,0.89609375
openml_24_mushroom,xgboost,class_conditional_cp,50,0.9044923076923077
openml_1486_nomao,xgboost,class_conditional_cp,50,0.9133468736399246
openml_1489_phoneme,xgboost,class_conditional_cp,50,0.9416281221091582
openml_1590_adult,xgboost,class_conditional_cp,50,0.8620841437199303
openml_4534_phishingwebsite,xgboost,class_conditional_cp,50,0.9102668475802804
openml_23512_higgs,xgboost,class_conditional_cp,50,0.5869505354411014
openml_23517_numerai28_6,xgboost,class_conditional_cp,50,0.1982454318936877
openml_3_kr_vs_kp,tabpfn,class_conditional_cp,50,0.89140625
openml_24_mushroom,tabpfn,class_conditional_cp,50,0.9980923076923076
openml_1486_nomao,tabpfn,class_conditional_cp,50,0.9120266937472798
openml_1489_phoneme,tabpfn,class_conditional_cp,50,0.9711378353376503
openml_1590_adult,tabpfn,class_conditional_cp,50,0.8300644897123555
openml_4534_phishingwebsite,tabpfn,class_conditional_cp,50,0.9007236544549977
openml_23512_higgs,tabpfn,class_conditional_cp,50,0.587440081591025
openml_23517_numerai28_6,tabpfn,class_conditional_cp,50,0.20501453488372096
openml_3_kr_vs_kp,logistic_regression,class_conditional_cp,100,0.9057812500000001
openml_24_mushroom,logistic_regression,class_conditional_cp,100,0.8986461538461539
openml_1486_nomao,logistic_regression,class_conditional_cp,100,0.9246191788771216
openml_1489_phoneme,logistic_regression,class_conditional_cp,100,0.6092506938020351
openml_1590_adult,logistic_regression,class_conditional_cp,100,0.8070222131231446
openml_4534_phishingwebsite,logistic_regression,class_conditional_cp,100,0.9472184531886025
openml_23512_higgs,logistic_regression,class_conditional_cp,100,0.3869352371239164
openml_23517_numerai28_6,logistic_regression,class_conditional_cp,100,0.21112437707641196
openml_3_kr_vs_kp,xgboost,class_conditional_cp,100,0.90109375
openml_24_mushroom,xgboost,class_conditional_cp,100,0.8994461538461538
openml_1486_nomao,xgboost,class_conditional_cp,100,0.913433918468011
openml_1489_phoneme,xgboost,class_conditional_cp,100,0.9503237742830712
openml_1590_adult,xgboost,class_conditional_cp,100,0.8592998259801412
openml_4534_phishingwebsite,xgboost,class_conditional_cp,100,0.9087743102668476
openml_23512_higgs,xgboost,class_conditional_cp,100,0.5845334013258541
openml_23517_numerai28_6,xgboost,class_conditional_cp,100,0.2054401993355482
openml_3_kr_vs_kp,tabpfn,class_conditional_cp,100,0.90078125
openml_24_mushroom,tabpfn,class_conditional_cp,100,0.9980923076923076
openml_1486_nomao,tabpfn,class_conditional_cp,100,0.9104453793703758
openml_1489_phoneme,tabpfn,class_conditional_cp,100,0.976873265494912
openml_1590_adult,tabpfn,class_conditional_cp,100,0.8217627188043812
openml_4534_phishingwebsite,tabpfn,class_conditional_cp,100,0.8989597467209407
openml_23512_higgs,tabpfn,class_conditional_cp,100,0.5973176950535442
openml_23517_numerai28_6,tabpfn,class_conditional_cp,100,0.2128529900332226
