dataset_id,model,cp_method,m_minority,metric,n,mean,median,sd_ddof1,iqr,q25,q75,min,max,across_seed_boot_ci_low,across_seed_boot_ci_high,uncertainty_type
openml_3_kr_vs_kp,logistic_regression,global_split_cp,10,coverage_minority,10,0.8732026143790851,0.8856209150326797,0.03766606677411733,0.039215686274509776,0.8594771241830066,0.8986928104575164,0.8006535947712419,0.9183006535947712,0.8503267973856209,0.8934722222222216,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,10,coverage_majority,10,0.8928143712574851,0.8892215568862275,0.028291256910023186,0.03967065868263475,0.8720059880239521,0.9116766467065869,0.8562874251497006,0.9461077844311377,0.876946107784431,0.9098802395209582,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,10,coverage_disparity,10,0.02730617196978591,0.023815114868302623,0.022388692206915087,0.01533697311259824,0.013923134123909081,0.02926010723650732,0.0015654964580642527,0.07467418104966539,0.015275136002504764,0.04141922038276385,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,10,singleton_rate,10,0.89359375,0.890625,0.033231044225952654,0.03984375000000007,0.8746093749999999,0.914453125,0.83125,0.9515625,0.8735937500000001,0.9129687499999999,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,10,average_set_size,10,0.89359375,0.890625,0.033231044225952654,0.03984375000000007,0.8746093749999999,0.914453125,0.83125,0.9515625,0.8739062500000001,0.9131249999999997,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,10,empty_rate,10,0.10640625,0.109375,0.03323104422595267,0.03984374999999997,0.08554687500000001,0.12539062499999998,0.0484375,0.16875,0.08687500000000001,0.12609375,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,10,doubleton_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,10,coverage_overall,10,0.8834375,0.87890625,0.029510620734086744,0.03906249999999989,0.8656250000000001,0.9046875,0.8296875,0.9328125,0.8659375,0.900625,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,10,auroc,10,0.9935726586043601,0.9930188642323197,0.0019614662680364136,0.0028692614770458036,0.9924073421783883,0.9952766036554341,0.9905091777229853,0.9966831043794763,0.9924494148956988,0.9947409347970726,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,10,auprc,10,0.9925115468151289,0.9923541397626423,0.0025968517076356344,0.0035532136953647653,0.9910236185769431,0.9945768322723079,0.9889836168434407,0.9964962145731889,0.9910396116263943,0.9940678729384688,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,10,q_global,10,0.2075678975876832,0.2064212154406389,0.03892845246627827,0.04709118215349675,0.18363297879184556,0.23072416094534232,0.14905620812291787,0.28486777140885,0.18593907261787637,0.23089297641839637,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,20,coverage_minority,10,0.8728758169934642,0.8856209150326797,0.03837299623816328,0.039215686274509776,0.8594771241830066,0.8986928104575164,0.7973856209150327,0.9183006535947712,0.8490114379084968,0.8934640522875817,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,20,coverage_majority,10,0.8934131736526947,0.8922155688622755,0.028620276772750378,0.03667664670658688,0.875,0.9116766467065869,0.8532934131736527,0.9461077844311377,0.8772455089820358,0.9107784431137725,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,20,coverage_disparity,10,0.025836562169778088,0.02082110289225475,0.02339712278005372,0.01982799107667013,0.00943211615983719,0.02926010723650732,0.0015654964580642527,0.07467418104966539,0.013341845720324048,0.04073245665531679,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,20,singleton_rate,10,0.89390625,0.8921875,0.034339075293517846,0.04218749999999993,0.8734375000000001,0.915625,0.828125,0.9515625,0.8734375,0.9139062499999999,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,20,average_set_size,10,0.89390625,0.8921875,0.034339075293517846,0.04218749999999993,0.8734375000000001,0.915625,0.828125,0.9515625,0.87343359375,0.9135976562499998,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,20,empty_rate,10,0.10609375000000001,0.1078125,0.034339075293517866,0.04218750000000002,0.084375,0.12656250000000002,0.0484375,0.171875,0.08625000000000001,0.126875,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,20,doubleton_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,20,coverage_overall,10,0.88359375,0.88046875,0.030443142729293098,0.039843749999999956,0.8656250000000001,0.90546875,0.8265625,0.9328125,0.86546484375,0.9012499999999999,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,20,auroc,10,0.9935726586043601,0.9930188642323197,0.0019614662680364136,0.0028692614770458036,0.9924073421783883,0.9952766036554341,0.9905091777229853,0.9966831043794763,0.9924494148956988,0.9947497162537668,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,20,auprc,10,0.9925115468151289,0.9923541397626423,0.0025968517076356344,0.0035532136953647653,0.9910236185769431,0.9945768322723079,0.9889836168434407,0.9964962145731889,0.9910020257365288,0.9940390357709884,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,20,q_global,10,0.2092167240433434,0.20884807375944048,0.04062971355729343,0.04998782821658526,0.1829518400028292,0.23293966821941448,0.1466075724973146,0.28486777140885,0.18588200016219708,0.2333053860669025,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,50,coverage_minority,10,0.8784313725490197,0.8856209150326797,0.035825367827615626,0.0326797385620915,0.8684640522875817,0.9011437908496732,0.8137254901960784,0.9183006535947712,0.8558823529411766,0.8977124183006536,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,50,coverage_majority,10,0.8985029940119762,0.8937125748502994,0.028314131332383086,0.04715568862275443,0.875,0.9221556886227544,0.8652694610778443,0.9461077844311377,0.8826347305389222,0.9155688622754491,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,50,coverage_disparity,10,0.0277660365543423,0.025987241203866807,0.02292435887841882,0.023912958396931555,0.012832178779695558,0.03674513717662711,0.0014285155179836195,0.07467418104966539,0.01509123909044656,0.04195735979022346,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,50,singleton_rate,10,0.9,0.89453125,0.03166392531993886,0.03554687499999998,0.8859375,0.921484375,0.8453125,0.9515625,0.88125,0.91859375,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,50,average_set_size,10,0.9,0.89453125,0.03166392531993886,0.03554687499999998,0.8859375,0.921484375,0.8453125,0.9515625,0.8814062500000001,0.91828125,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,50,empty_rate,10,0.1,0.10546875,0.03166392531993888,0.03554687499999999,0.078515625,0.1140625,0.0484375,0.1546875,0.08155859374999999,0.1184375,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,50,doubleton_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,50,coverage_overall,10,0.8889062500000001,0.884375,0.02826402752150004,0.03515625,0.875390625,0.910546875,0.840625,0.9328125,0.8721874999999999,0.9057812499999999,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,50,auroc,10,0.9935726586043601,0.9930188642323197,0.0019614662680364136,0.0028692614770458036,0.9924073421783883,0.9952766036554341,0.9905091777229853,0.9966831043794763,0.9924572179171068,0.994719384759892,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,50,auprc,10,0.9925115468151289,0.9923541397626423,0.0025968517076356344,0.0035532136953647653,0.9910236185769431,0.9945768322723079,0.9889836168434407,0.9964962145731889,0.9910262978188727,0.9940347407773168,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,50,q_global,10,0.2168524533791166,0.21265322435031264,0.03965298785933646,0.05035022162801195,0.19402839834114544,0.24437861996915738,0.1576501153874328,0.28486777140885,0.19385465785991896,0.240404964881231,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,100,coverage_minority,10,0.8820261437908498,0.8888888888888888,0.03020593261763482,0.02450980392156865,0.8741830065359477,0.8986928104575164,0.826797385620915,0.9215686274509803,0.8633986928104574,0.8986928104575164,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,100,coverage_majority,10,0.9041916167664672,0.8997005988023952,0.026215420232662056,0.04116766467065869,0.8839820359281437,0.9251497005988024,0.8712574850299402,0.9491017964071856,0.8892215568862275,0.9197604790419163,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,100,coverage_disparity,10,0.029859888067003258,0.025850260263786173,0.025460784538758854,0.01982799107667013,0.014260694297679177,0.03408868537434931,0.0008805917576611977,0.07956635748111618,0.01598567570740873,0.045640141286055355,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,100,singleton_rate,10,0.9043750000000002,0.8968750000000001,0.026143550697171114,0.030078125000000067,0.8890625,0.919140625,0.865625,0.95625,0.89,0.9206249999999999,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,100,average_set_size,10,0.9043750000000002,0.8968750000000001,0.026143550697171114,0.030078125000000067,0.8890625,0.919140625,0.865625,0.95625,0.8895312499999999,0.9204687500000001,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,100,empty_rate,10,0.095625,0.103125,0.0261435506971711,0.030078124999999983,0.08085937500000001,0.1109375,0.04375,0.134375,0.07953125,0.11000000000000001,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,100,doubleton_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,100,coverage_overall,10,0.89359375,0.88671875,0.022850876206456,0.030468749999999933,0.8792968750000001,0.909765625,0.8609375,0.9359375,0.8807812500000001,0.9073437500000001,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,100,auroc,10,0.9935726586043601,0.9930188642323197,0.0019614662680364136,0.0028692614770458036,0.9924073421783883,0.9952766036554341,0.9905091777229853,0.9966831043794763,0.9924670022699698,0.9947438701029313,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,100,auprc,10,0.9925115468151289,0.9923541397626423,0.0025968517076356344,0.0035532136953647653,0.9910236185769431,0.9945768322723079,0.9889836168434407,0.9964962145731889,0.9910205315465788,0.9940613016385198,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,global_split_cp,100,q_global,10,0.22116087588919342,0.21477439588947655,0.03438408259521994,0.02814240979493199,0.20789271027654985,0.23603512007148184,0.17704688902047383,0.29649921738103946,0.2025770952782003,0.24262879529468798,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,class_conditional_cp,10,coverage_minority,10,0.8869281045751635,0.8937908496732025,0.08062768457495686,0.11928104575163401,0.8366013071895424,0.9558823529411764,0.7352941176470589,0.9803921568627451,0.8379084967320262,0.9326797385620915,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,class_conditional_cp,10,coverage_majority,10,0.8937125748502996,0.8892215568862275,0.027917366727942865,0.03742514970059885,0.875,0.9124251497005988,0.8562874251497006,0.9461077844311377,0.878443113772455,0.9104790419161676,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,class_conditional_cp,10,coverage_disparity,10,0.07322413995538336,0.06853939180462604,0.03635430690385601,0.03686744158741345,0.0484765762592462,0.08534401784665965,0.01927517513991628,0.13895737935892916,0.05311680560447734,0.09537620836757854,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,class_conditional_cp,10,singleton_rate,10,0.9060937499999999,0.90703125,0.0500999976609281,0.060546875,0.879296875,0.93984375,0.8109375,0.971875,0.8753125,0.9340625000000001,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,class_conditional_cp,10,average_set_size,10,0.9060937499999999,0.90703125,0.0500999976609281,0.060546875,0.879296875,0.93984375,0.8109375,0.971875,0.8760898437499999,0.934375,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,class_conditional_cp,10,empty_rate,10,0.09390625,0.09296874999999999,0.05009999766092808,0.06054687499999999,0.06015625,0.120703125,0.028125,0.1890625,0.065625,0.12421875,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,class_conditional_cp,10,doubleton_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,class_conditional_cp,10,coverage_overall,10,0.8904687499999999,0.89921875,0.041369054310122784,0.04531250000000009,0.869921875,0.915234375,0.8078125,0.9421875,0.865,0.9134375,across_seed_bootstrap_exploratory
openml_3_kr_vs_kp,logistic_regression,class_conditional_cp,10,auroc,10,0.9935726586043601,0.9930188642323197,0.0019614662680364136,0.0028692614770458036,0.9924073421783883,0.9952766036554341,0.9905091777229853,0.9966831043794763,0.992447433564244,0.9947536299949121,across_seed_bootstrap_exploratory
