endpoint_tag,family,dataset_id,model,aggregation,d
rq1a_cc_m100_minus_m50_average_set_size,A_confirmatory,openml_24_mushroom,tabpfn,pooled_30_contrasts,0.0
rq1a_cc_m100_minus_m50_average_set_size,A_confirmatory,openml_24_mushroom,(pooled_3_pipelines),pooled_30_contrasts,-0.002071794871794874
rq1a_cc_m100_minus_m50_average_set_size,A_confirmatory,openml_1486_nomao,logistic_regression,pooled_30_contrasts,-0.0016538517336428305
rq1a_cc_m100_minus_m50_average_set_size,A_confirmatory,openml_1486_nomao,xgboost,pooled_30_contrasts,8.704482808649105e-05
rq1a_cc_m100_minus_m50_average_set_size,A_confirmatory,openml_1486_nomao,tabpfn,pooled_30_contrasts,-0.0015813143769041083
rq1a_cc_m100_minus_m50_average_set_size,A_confirmatory,openml_1486_nomao,(pooled_3_pipelines),pooled_30_contrasts,-0.0010493737608201492
rq1a_cc_m100_minus_m50_average_set_size,A_confirmatory,openml_1489_phoneme,logistic_regression,pooled_30_contrasts,-0.011840888066604993
rq1a_cc_m100_minus_m50_average_set_size,A_confirmatory,openml_1489_phoneme,xgboost,pooled_30_contrasts,-0.0044403330249768395
rq1a_cc_m100_minus_m50_average_set_size,A_confirmatory,openml_1489_phoneme,tabpfn,pooled_30_contrasts,-0.007585568917668794
rq1a_cc_m100_minus_m50_average_set_size,A_confirmatory,openml_1489_phoneme,(pooled_3_pipelines),pooled_30_contrasts,-0.007955596669750209
rq1a_cc_m100_minus_m50_average_set_size,A_confirmatory,openml_1590_adult,logistic_regression,pooled_30_contrasts,-0.00555839901729962
rq1a_cc_m100_minus_m50_average_set_size,A_confirmatory,openml_1590_adult,xgboost,pooled_30_contrasts,0.002784317739789088
rq1a_cc_m100_minus_m50_average_set_size,A_confirmatory,openml_1590_adult,tabpfn,pooled_30_contrasts,0.008301770907974192
rq1a_cc_m100_minus_m50_average_set_size,A_confirmatory,openml_1590_adult,(pooled_3_pipelines),pooled_30_contrasts,0.0018425632101545539
rq1a_cc_m100_minus_m50_average_set_size,A_confirmatory,openml_4534_phishingwebsite,logistic_regression,pooled_30_contrasts,0.0013568521031207647
rq1a_cc_m100_minus_m50_average_set_size,A_confirmatory,openml_4534_phishingwebsite,xgboost,pooled_30_contrasts,-0.0014925373134328291
rq1a_cc_m100_minus_m50_average_set_size,A_confirmatory,openml_4534_phishingwebsite,tabpfn,pooled_30_contrasts,-0.0017639077340569798
rq1a_cc_m100_minus_m50_average_set_size,A_confirmatory,openml_4534_phishingwebsite,(pooled_3_pipelines),pooled_30_contrasts,-0.0006331976481230146
rq1a_cc_m100_minus_m50_average_set_size,A_confirmatory,openml_23512_higgs,logistic_regression,pooled_30_contrasts,0.01577256501784805
rq1a_cc_m100_minus_m50_average_set_size,A_confirmatory,openml_23512_higgs,xgboost,pooled_30_contrasts,0.0024171341152473104
rq1a_cc_m100_minus_m50_average_set_size,A_confirmatory,openml_23512_higgs,tabpfn,pooled_30_contrasts,-0.009877613462519141
rq1a_cc_m100_minus_m50_average_set_size,A_confirmatory,openml_23512_higgs,(pooled_3_pipelines),pooled_30_contrasts,0.002770695223525406
rq1a_cc_m100_minus_m50_average_set_size,A_confirmatory,openml_23517_numerai28_6,logistic_regression,pooled_30_contrasts,-0.00216985049833891
rq1a_cc_m100_minus_m50_average_set_size,A_confirmatory,openml_23517_numerai28_6,xgboost,pooled_30_contrasts,-0.007194767441860405
rq1a_cc_m100_minus_m50_average_set_size,A_confirmatory,openml_23517_numerai28_6,tabpfn,pooled_30_contrasts,-0.007838455149501655
rq1a_cc_m100_minus_m50_average_set_size,A_confirmatory,openml_23517_numerai28_6,(pooled_3_pipelines),pooled_30_contrasts,-0.0057343576965669905
rq1a_cc_m100_minus_m50_coverage_minority,A_secondary_descriptive,openml_3_kr_vs_kp,logistic_regression,pooled_30_contrasts,0.0016339869281045915
rq1a_cc_m100_minus_m50_coverage_minority,A_secondary_descriptive,openml_3_kr_vs_kp,xgboost,pooled_30_contrasts,0.01078431372549019
rq1a_cc_m100_minus_m50_coverage_minority,A_secondary_descriptive,openml_3_kr_vs_kp,tabpfn,pooled_30_contrasts,0.019934640522875822
rq1a_cc_m100_minus_m50_coverage_minority,A_secondary_descriptive,openml_3_kr_vs_kp,(pooled_3_pipelines),pooled_30_contrasts,0.010784313725490203
rq1a_cc_m100_minus_m50_coverage_minority,A_secondary_descriptive,openml_24_mushroom,logistic_regression,pooled_30_contrasts,-0.0024265644955300146
rq1a_cc_m100_minus_m50_coverage_minority,A_secondary_descriptive,openml_24_mushroom,xgboost,pooled_30_contrasts,-0.010472541507024268
rq1a_cc_m100_minus_m50_coverage_minority,A_secondary_descriptive,openml_24_mushroom,tabpfn,pooled_30_contrasts,0.0
rq1a_cc_m100_minus_m50_coverage_minority,A_secondary_descriptive,openml_24_mushroom,(pooled_3_pipelines),pooled_30_contrasts,-0.004299702000851428
rq1a_cc_m100_minus_m50_coverage_minority,A_secondary_descriptive,openml_1486_nomao,logistic_regression,pooled_30_contrasts,-0.0038598273235144753
rq1a_cc_m100_minus_m50_coverage_minority,A_secondary_descriptive,openml_1486_nomao,xgboost,pooled_30_contrasts,0.0017267648552564574
rq1a_cc_m100_minus_m50_coverage_minority,A_secondary_descriptive,openml_1486_nomao,tabpfn,pooled_30_contrasts,-0.003453529710512937
rq1a_cc_m100_minus_m50_coverage_minority,A_secondary_descriptive,openml_1486_nomao,(pooled_3_pipelines),pooled_30_contrasts,-0.0018621973929236516
rq1a_cc_m100_minus_m50_coverage_minority,A_secondary_descriptive,openml_1489_phoneme,logistic_regression,pooled_30_contrasts,-0.00883280757097793
rq1a_cc_m100_minus_m50_coverage_minority,A_secondary_descriptive,openml_1489_phoneme,xgboost,pooled_30_contrasts,0.0015772870662460804
rq1a_cc_m100_minus_m50_coverage_minority,A_secondary_descriptive,openml_1489_phoneme,tabpfn,pooled_30_contrasts,-0.004100946372239756
rq1a_cc_m100_minus_m50_coverage_minority,A_secondary_descriptive,openml_1489_phoneme,(pooled_3_pipelines),pooled_30_contrasts,-0.003785488958990535
rq1a_cc_m100_minus_m50_coverage_minority,A_secondary_descriptive,openml_1590_adult,logistic_regression,pooled_30_contrasts,0.0022668947818648586
rq1a_cc_m100_minus_m50_coverage_minority,A_secondary_descriptive,openml_1590_adult,xgboost,pooled_30_contrasts,0.0068862275449101725
rq1a_cc_m100_minus_m50_coverage_minority,A_secondary_descriptive,openml_1590_adult,tabpfn,pooled_30_contrasts,0.012189905902480735
rq1a_cc_m100_minus_m50_coverage_minority,A_secondary_descriptive,openml_1590_adult,(pooled_3_pipelines),pooled_30_contrasts,0.007114342743085256
rq1a_cc_m100_minus_m50_coverage_minority,A_secondary_descriptive,openml_4534_phishingwebsite,logistic_regression,pooled_30_contrasts,0.004897959183673461
rq1a_cc_m100_minus_m50_coverage_minority,A_secondary_descriptive,openml_4534_phishingwebsite,xgboost,pooled_30_contrasts,-0.00040816326530614957
rq1a_cc_m100_minus_m50_coverage_minority,A_secondary_descriptive,openml_4534_phishingwebsite,tabpfn,pooled_30_contrasts,-0.0026530612244897943
rq1a_cc_m100_minus_m50_coverage_minority,A_secondary_descriptive,openml_4534_phishingwebsite,(pooled_3_pipelines),pooled_30_contrasts,0.0006122448979591725
rq1a_cc_m100_minus_m50_coverage_minority,A_secondary_descriptive,openml_23512_higgs,logistic_regression,pooled_30_contrasts,0.011541373715521908
rq1a_cc_m100_minus_m50_coverage_minority,A_secondary_descriptive,openml_23512_higgs,xgboost,pooled_30_contrasts,0.0037858301784748473
rq1a_cc_m100_minus_m50_coverage_minority,A_secondary_descriptive,openml_23512_higgs,tabpfn,pooled_30_contrasts,-0.002585181179015683
rq1a_cc_m100_minus_m50_coverage_minority,A_secondary_descriptive,openml_23512_higgs,(pooled_3_pipelines),pooled_30_contrasts,0.004247340904993691
rq1a_cc_m100_minus_m50_coverage_minority,A_secondary_descriptive,openml_23517_numerai28_6,logistic_regression,pooled_30_contrasts,-0.0019198489299202647
rq1a_cc_m100_minus_m50_coverage_minority,A_secondary_descriptive,openml_23517_numerai28_6,xgboost,pooled_30_contrasts,-0.006766680654637036
rq1a_cc_m100_minus_m50_coverage_minority,A_secondary_descriptive,openml_23517_numerai28_6,tabpfn,pooled_30_contrasts,-0.006997482165337787
rq1a_cc_m100_minus_m50_coverage_minority,A_secondary_descriptive,openml_23517_numerai28_6,(pooled_3_pipelines),pooled_30_contrasts,-0.005228003916631696
rq1a_cc_m100_minus_m50_coverage_majority,A_secondary_descriptive,openml_3_kr_vs_kp,logistic_regression,pooled_30_contrasts,0.0
rq1a_cc_m100_minus_m50_coverage_majority,A_secondary_descriptive,openml_3_kr_vs_kp,xgboost,pooled_30_contrasts,0.0
rq1a_cc_m100_minus_m50_coverage_majority,A_secondary_descriptive,openml_3_kr_vs_kp,tabpfn,pooled_30_contrasts,0.0
rq1a_cc_m100_minus_m50_coverage_majority,A_secondary_descriptive,openml_3_kr_vs_kp,(pooled_3_pipelines),pooled_30_contrasts,0.0
rq1a_cc_m100_minus_m50_coverage_majority,A_secondary_descriptive,openml_24_mushroom,logistic_regression,pooled_30_contrasts,0.0
rq1a_cc_m100_minus_m50_coverage_majority,A_secondary_descriptive,openml_24_mushroom,xgboost,pooled_30_contrasts,0.0
rq1a_cc_m100_minus_m50_coverage_majority,A_secondary_descriptive,openml_24_mushroom,tabpfn,pooled_30_contrasts,0.0
rq1a_cc_m100_minus_m50_coverage_majority,A_secondary_descriptive,openml_24_mushroom,(pooled_3_pipelines),pooled_30_contrasts,0.0
rq1a_cc_m100_minus_m50_coverage_majority,A_secondary_descriptive,openml_1486_nomao,logistic_regression,pooled_30_contrasts,0.0
rq1a_cc_m100_minus_m50_coverage_majority,A_secondary_descriptive,openml_1486_nomao,xgboost,pooled_30_contrasts,0.0
rq1a_cc_m100_minus_m50_coverage_majority,A_secondary_descriptive,openml_1486_nomao,tabpfn,pooled_30_contrasts,0.0
rq1a_cc_m100_minus_m50_coverage_majority,A_secondary_descriptive,openml_1486_nomao,(pooled_3_pipelines),pooled_30_contrasts,0.0
rq1a_cc_m100_minus_m50_coverage_majority,A_secondary_descriptive,openml_1489_phoneme,logistic_regression,pooled_30_contrasts,0.0
rq1a_cc_m100_minus_m50_coverage_majority,A_secondary_descriptive,openml_1489_phoneme,xgboost,pooled_30_contrasts,0.0
rq1a_cc_m100_minus_m50_coverage_majority,A_secondary_descriptive,openml_1489_phoneme,tabpfn,pooled_30_contrasts,0.0
rq1a_cc_m100_minus_m50_coverage_majority,A_secondary_descriptive,openml_1489_phoneme,(pooled_3_pipelines),pooled_30_contrasts,0.0
rq1a_cc_m100_minus_m50_coverage_majority,A_secondary_descriptive,openml_1590_adult,logistic_regression,pooled_30_contrasts,0.0
rq1a_cc_m100_minus_m50_coverage_majority,A_secondary_descriptive,openml_1590_adult,xgboost,pooled_30_contrasts,0.0
rq1a_cc_m100_minus_m50_coverage_majority,A_secondary_descriptive,openml_1590_adult,tabpfn,pooled_30_contrasts,0.0
rq1a_cc_m100_minus_m50_coverage_majority,A_secondary_descriptive,openml_1590_adult,(pooled_3_pipelines),pooled_30_contrasts,0.0
rq1a_cc_m100_minus_m50_coverage_majority,A_secondary_descriptive,openml_4534_phishingwebsite,logistic_regression,pooled_30_contrasts,0.0
rq1a_cc_m100_minus_m50_coverage_majority,A_secondary_descriptive,openml_4534_phishingwebsite,xgboost,pooled_30_contrasts,0.0
rq1a_cc_m100_minus_m50_coverage_majority,A_secondary_descriptive,openml_4534_phishingwebsite,tabpfn,pooled_30_contrasts,0.0
rq1a_cc_m100_minus_m50_coverage_majority,A_secondary_descriptive,openml_4534_phishingwebsite,(pooled_3_pipelines),pooled_30_contrasts,0.0
rq1a_cc_m100_minus_m50_coverage_majority,A_secondary_descriptive,openml_23512_higgs,logistic_regression,pooled_30_contrasts,0.0
rq1a_cc_m100_minus_m50_coverage_majority,A_secondary_descriptive,openml_23512_higgs,xgboost,pooled_30_contrasts,0.0
rq1a_cc_m100_minus_m50_coverage_majority,A_secondary_descriptive,openml_23512_higgs,tabpfn,pooled_30_contrasts,0.0
rq1a_cc_m100_minus_m50_coverage_majority,A_secondary_descriptive,openml_23512_higgs,(pooled_3_pipelines),pooled_30_contrasts,0.0
rq1a_cc_m100_minus_m50_coverage_majority,A_secondary_descriptive,openml_23517_numerai28_6,logistic_regression,pooled_30_contrasts,0.0
rq1a_cc_m100_minus_m50_coverage_majority,A_secondary_descriptive,openml_23517_numerai28_6,xgboost,pooled_30_contrasts,0.0
rq1a_cc_m100_minus_m50_coverage_majority,A_secondary_descriptive,openml_23517_numerai28_6,tabpfn,pooled_30_contrasts,0.0
rq1a_cc_m100_minus_m50_coverage_majority,A_secondary_descriptive,openml_23517_numerai28_6,(pooled_3_pipelines),pooled_30_contrasts,0.0
rq1a_cc_m100_minus_m50_threshold_sum,A_secondary_descriptive,openml_3_kr_vs_kp,logistic_regression,pooled_30_contrasts,-0.020611434601744437
rq1a_cc_m100_minus_m50_threshold_sum,A_secondary_descriptive,openml_3_kr_vs_kp,xgboost,pooled_30_contrasts,0.0033426105976104735
rq1a_cc_m100_minus_m50_threshold_sum,A_secondary_descriptive,openml_3_kr_vs_kp,tabpfn,pooled_30_contrasts,0.0007038235664367676
rq1a_cc_m100_minus_m50_threshold_sum,A_secondary_descriptive,openml_3_kr_vs_kp,(pooled_3_pipelines),pooled_30_contrasts,-0.005521666812565732
rq1a_cc_m100_minus_m50_threshold_sum,A_secondary_descriptive,openml_24_mushroom,logistic_regression,pooled_30_contrasts,-0.00427245212717785
rq1a_cc_m100_minus_m50_threshold_sum,A_secondary_descriptive,openml_24_mushroom,xgboost,pooled_30_contrasts,-0.0009382307529449463
rq1a_cc_m100_minus_m50_threshold_sum,A_secondary_descriptive,openml_24_mushroom,tabpfn,pooled_30_contrasts,0.0
rq1a_cc_m100_minus_m50_threshold_sum,A_secondary_descriptive,openml_24_mushroom,(pooled_3_pipelines),pooled_30_contrasts,-0.0017368942933742655
rq1a_cc_m100_minus_m50_threshold_sum,A_secondary_descriptive,openml_1486_nomao,logistic_regression,pooled_30_contrasts,-0.01351382963553388
rq1a_cc_m100_minus_m50_threshold_sum,A_secondary_descriptive,openml_1486_nomao,xgboost,pooled_30_contrasts,-0.0166253000497818
rq1a_cc_m100_minus_m50_threshold_sum,A_secondary_descriptive,openml_1486_nomao,tabpfn,pooled_30_contrasts,-0.02116525173187256
rq1a_cc_m100_minus_m50_threshold_sum,A_secondary_descriptive,openml_1486_nomao,(pooled_3_pipelines),pooled_30_contrasts,-0.01710146047239608
rq1a_cc_m100_minus_m50_threshold_sum,A_secondary_descriptive,openml_1489_phoneme,logistic_regression,pooled_30_contrasts,-0.006732778871321221
rq1a_cc_m100_minus_m50_threshold_sum,A_secondary_descriptive,openml_1489_phoneme,xgboost,pooled_30_contrasts,0.009613564610481263
rq1a_cc_m100_minus_m50_threshold_sum,A_secondary_descriptive,openml_1489_phoneme,tabpfn,pooled_30_contrasts,-0.022020499408245086
rq1a_cc_m100_minus_m50_threshold_sum,A_secondary_descriptive,openml_1489_phoneme,(pooled_3_pipelines),pooled_30_contrasts,-0.006379904556361682
rq1a_cc_m100_minus_m50_threshold_sum,A_secondary_descriptive,openml_1590_adult,logistic_regression,pooled_30_contrasts,0.0006588249656631628
rq1a_cc_m100_minus_m50_threshold_sum,A_secondary_descriptive,openml_1590_adult,xgboost,pooled_30_contrasts,0.0088115394115448
rq1a_cc_m100_minus_m50_threshold_sum,A_secondary_descriptive,openml_1590_adult,tabpfn,pooled_30_contrasts,0.016212180629372595
rq1a_cc_m100_minus_m50_threshold_sum,A_secondary_descriptive,openml_1590_adult,(pooled_3_pipelines),pooled_30_contrasts,0.008560848335526854
rq1a_cc_m100_minus_m50_threshold_sum,A_secondary_descriptive,openml_4534_phishingwebsite,logistic_regression,pooled_30_contrasts,0.022062455928658953
rq1a_cc_m100_minus_m50_threshold_sum,A_secondary_descriptive,openml_4534_phishingwebsite,xgboost,pooled_30_contrasts,-0.03988035321235657
rq1a_cc_m100_minus_m50_threshold_sum,A_secondary_descriptive,openml_4534_phishingwebsite,tabpfn,pooled_30_contrasts,-0.044005340337753295
rq1a_cc_m100_minus_m50_threshold_sum,A_secondary_descriptive,openml_4534_phishingwebsite,(pooled_3_pipelines),pooled_30_contrasts,-0.02060774587381697
rq1a_cc_m100_minus_m50_threshold_sum,A_secondary_descriptive,openml_23512_higgs,logistic_regression,pooled_30_contrasts,0.007039551900344043
rq1a_cc_m100_minus_m50_threshold_sum,A_secondary_descriptive,openml_23512_higgs,xgboost,pooled_30_contrasts,0.0018977850675582885
rq1a_cc_m100_minus_m50_threshold_sum,A_secondary_descriptive,openml_23512_higgs,tabpfn,pooled_30_contrasts,-0.009018641710281373
rq1a_cc_m100_minus_m50_threshold_sum,A_secondary_descriptive,openml_23512_higgs,(pooled_3_pipelines),pooled_30_contrasts,-2.7101580793013428e-05
rq1a_cc_m100_minus_m50_threshold_sum,A_secondary_descriptive,openml_23517_numerai28_6,logistic_regression,pooled_30_contrasts,-0.0008533942976188369
rq1a_cc_m100_minus_m50_threshold_sum,A_secondary_descriptive,openml_23517_numerai28_6,xgboost,pooled_30_contrasts,-0.001915973424911499
